Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
青岛圣宇石油化工有限公司,,山东省青岛市保税区上海路前盛1号仓储办公楼5695号,,,,300000000.0,2015.0
山东洪鼎化工有限公司,,菏泽市郓城县煤化工业园区,,,,300000000.0,2010.0
山东天成万丰化工科技有限公司,,济宁市兖州区北站西路66号,,,,300000000.0,2012.0
山东盛昌化工有限公司,,郓城县煤化工工业园区,,,,300000000.0,2011.0
山东海力化工股份有限公司,,桓台县马桥镇大成工业区,,,,300000000.0,2003.0
山东莱钢环友化工能源有限公司,,莱芜市钢城区艾山办事处周家坡,,,,300000000.0,2006.0
青岛海湾液体化工港务有限公司,,山东省青岛市黄岛区泊里镇港润大道88号,,,,300000000.0,2011.0
山东齐发化工有限公司,,东营区辛河路东600米(牛庄镇小宋村),,,,300000000.0,2006.0
山东盛荣化工有限公司,,东明县化工园区纬五路北经三路东,,,,300000000.0,2013.0
青岛中茂晟泰石油化工有限公司,,山东省青岛市保税港区北京路45号1号库一楼156号,,,,288880000.0,2018.0
山东滨州港化工码头有限公司,,滨州市北海新区北海大街8号,,,,285710000.0,2009.0
淄博金桥化工医药有限公司,,山东省淄博市临淄区齐城路1号,,,,280000000.0,2015.0
山东铭浩化工股份有限公司,,沂水县经济开发区庐山工业园,,,,280000000.0,2012.0
东营贝斯特化工科技有限公司,,广饶县经济开发区8号路南侧,,,,270000000.0,2015.0
山东巨野万山伟业化工有限公司,,巨野县田桥镇煤化工园区,,,,265800000.0,2012.0
山东大泽化工有限公司,,巨野县煤化工业园区,,,,265000000.0,2012.0
寿光市裕鑫化工有限公司,,寿光市卧铺乡清河采油厂第二生活区,,,,260990000.0,2000.0
山东国能生物化工股份有限公司,,山东省威海市文登区天福办事处通河路2号卫生大厦1308室,,,,260000000.0,2010.0
山东红日化工股份有限公司,,临沂市罗庄区湖北路东段,,,,260000000.0,1993.0
茌平信发华兴化工有限公司,,茌平县乐平镇,,,,251820000.0,2009.0
山东寿光神润发海洋化工有限公司,,寿光渤海化工园黄海路8号,,,,250000000.0,2006.0
菏泽德瑞化工有限公司,,菏泽开发区洪泽路8号,,,,250000000.0,2013.0
东明恒昌化工有限公司,,山东省菏泽市东明县黄河路27号,,,,250000000.0,2000.0
山东吉安化工有限公司,,菏泽市东明县106国道北侧,,,,246510000.0,2007.0
烟台恒邦化工有限公司,,牟平区大窑镇北莒城,,,,240000000.0,2001.0
盛源宏达化工有限公司,,滕州市西岗柴里矿区,,,,235898600.0,2006.0
山东聊城鲁西化工第二化肥有限公司,,东阿县城阿胶街96号,,,,235280000.0,2003.0
临沂尚德精细化工有限公司,,山东省临沂市兰陵县经济开发区滨河路孤山湖桥西路北,,,,226000000.0,2015.0
山东晋煤明水化工集团有限公司,,山东省济南市章丘区刁镇化工工业园,,,,223657200.0,1991.0
山东广悦化工有限公司,,利津县刁口乡政府驻地,,,,220000000.0,2012.0
山东宏信化工股份有限公司,,淄博市周村区新建西路10号,,,,218000000.0,1996.0
东辰控股集团有限公司,,东营市垦利区胜坨镇府西,,,,210000000.0,1997.0
海洋化工研究院有限公司,,青岛市市南区金湖路4号,,,,209716000.0,2000.0
山东潍坊润丰化工股份有限公司,,山东省潍坊市滨海经济开发区氯碱路03001号,,,,207130000.0,2005.0
日照中博化工有限公司,,日照市岚山区化工园区大道3号,,,,205000000.0,2012.0
山东石大胜华化工集团股份有限公司,,山东省东营市垦利区同兴路198号,,,,202680000.0,2002.0
山东江华化工科技有限公司,,山东省临沂市郯城县郯城经济开发区开源路1号,,,,201700000.0,2017.0
山东华阳农药化工集团有限公司,,宁阳县磁窑镇,,,,201380000.0,1996.0
山东瑞天化工有限公司,,东营市广饶县稻庄镇高效生态经济园,,,,201000000.0,2012.0
山东凯日化工股份有限公司,,淄博市临淄区辛化路191号,,,,200040000.0,2003.0
山东兴泽化工有限公司,,山东省菏泽市巨野县董官屯煤化工园区能源大道中段路东,,,,200000000.0,2014.0
单县太阳化工有限公司,,山东省菏泽市单县化工园区,,,,200000000.0,2015.0
淄博爱博特化工有限公司,,山东省淄博市高新区鲁泰大道1号通乾戴维斯商务中心7-716号,,,,200000000.0,2004.0
青岛润农化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地海浦北路8号,,,,200000000.0,2013.0
山东鑫石源石油化工有限公司,,山东省青岛市保税区莫斯科路49号二楼2010室-A421号,,,,200000000.0,2017.0
山东万福达化工有限公司,,东营港经济开发区海港路南、港西三路西,,,,200000000.0,2011.0
山东中悦石油化工有限公司,,山东省滨州市博兴县经济开发区228省道以东、新农村路以北,,,,200000000.0,2016.0
山东神驰化工集团有限公司,,东营区郝纯路129号,,,,200000000.0,2001.0
东明县佳鑫精细化工有限公司,,山东省菏泽市东明县菜园集镇开发区,,,,200000000.0,2015.0
山东天宏新能源化工有限公司,,博兴县开发区博城五路东首,,,,200000000.0,2008.0
森岳(无棣)国际能源化工有限公司,,无棣县鲁北高新技术开发区内,,,,200000000.0,2014.0
青岛锐丰源化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地海浦北路10号,,,,200000000.0,2012.0
日照昊晟石油化工有限公司,,山东省日照市东港区海曲东路396号日照国际财富中心,,,,200000000.0,2017.0
青岛碱业发展有限公司,,青岛市李沧区四流北路78号,,,,200000000.0,2007.0
山东杰富意振兴化工有限公司,,潍坊市昌乐县朱刘街道办事处,,,,198300000.0,2005.0
兖矿科蓝凯美特化工有限公司,,济宁市金乡县胡集镇济宁化学工业开发区,,,,195950000.0,1995.0
枣庄杰富意振兴化工有限公司,,枣庄市薛城区邹坞镇煤化工园区,,,,195000000.0,2013.0
山东聊城鲁西化工第五化肥有限公司,,阳谷运河西路421号,,,,185820000.0,2003.0
山东福瑞化工有限公司,,寿光市经济开发区东环路北段路东,,,,185000000.0,2002.0
莘县华祥盐化有限公司,,莘县古云经济技术开发区,,,,182000000.0,2005.0
临沂鲁宇化工科技有限公司,,山东省临沂市经济开发区金科财税大厦6楼B692,,,,180000000.0,2016.0
山东红海化工有限公司,,东营市河口蓝色经济开发区,,,,180000000.0,2011.0
山东素米石油化工有限公司,,山东省日照市东港区潍坊路126号富阳小区沿街D段,,,,180000000.0,2017.0
东营胜利中亚化工有限公司,,东营东营区史口镇,,,,180000000.0,2003.0
山东天宝化工股份有限公司,,平邑县城蒙阳南路西327国道北,,,,179329000.0,1997.0
山东泰齐石油化工有限公司,,山东省日照市东港区海曲东路与绿舟路交汇处日照国际财富中心36层,,,,178900000.0,2017.0
山东贝斯特化工有限公司,,广饶县经济开发区团结路675号,,,,176000000.0,2000.0
山东富丰柏斯托化工有限公司,,淄博临淄齐鲁化学工业区精细化工园乙烯北路76号,,,,172084016.0,2005.0
山东菏泽利洋化工有限公司,,郓城县煤化工业园区,,,,171060000.0,2013.0
山东大成化工集团有限公司,,张店区洪沟路25号,,,,167420000.0,1998.0
索尔维精细化工添加剂(青岛)有限公司,,青岛高新技术产业开发区华贯路788号,,,,167000000.0,2008.0
滕州盛源宏达化工有限公司,,滕州市西岗柴里矿区,,,,166600000.0,2006.0
山东鲁深发化工有限公司,,东营港经济开发区港西二路以西、港北二路以南,,,,165180000.0,2009.0
山东东方宏业化工有限公司,,寿光市侯镇项目区金源小区,,,,164000000.0,2009.0
山东润银生物化工股份有限公司,,东平县彭集镇,,,,163200000.0,1993.0
山东易达利化工有限公司,,菏泽市开发区海河路以北,,,,162500000.0,2009.0
青岛红星有机化工有限公司,,山东省青岛市黄岛区辽河路88号,,,,162000000.0,2005.0
山东远东国际生物化工股份有限公司,,兰陵县尚岩镇,,,,161600000.0,2006.0
山东圣运化工有限公司,,日照市莒县阎庄镇小河村,,,,160000000.0,2010.0
潍坊新绿化工有限公司,,山东潍坊滨海经济技术开发区海化工业园临港路以东辽河西二街以南,,,,160000000.0,2014.0
江山联合化工集团有限公司,,广饶县大王镇复兴王村,,,,160000000.0,2009.0
山东华盛化工有限公司,,利津县陈庄工业园,,,,160000000.0,2008.0
龙口滨港液体化工码头有限公司,,山东省龙口市环海路24号,,,,160000000.0,2004.0
东明泽盛源化工有限公司,,山东省菏泽市东明县菜园集镇高海路西段,,,,157890000.0,2017.0
山东齐旺达石油化工有限公司,,山东省淄博市临淄区金烯路199号,,,,154473000.0,2006.0
青州天安化工有限公司,,"青州市经济开发区东方路东侧,中心路北侧",,,,152700000.0,2007.0
济宁金丹化工有限公司,,金乡县济宁市化学工业经济技术开发区内,,,,152000000.0,2014.0
山东联盟化工集团有限公司,,寿光市农圣街豪源路交叉路口北路西,,,,151930000.0,1997.0
郯城豫通化工科技有限公司,,山东省临沂市郯城县经济开发区工业园区,,,,151160000.0,2015.0
山东恒源石油化工股份有限公司,,山东省临邑县城恒源路111号,,,,150000000.0,1997.0
山东同周三成石油化工有限公司,,山东省日照市东港区北京路东蓝天世贸大厦1802室,,,,150000000.0,2017.0
菏泽聚兴化工股份有限公司,,菏泽市开发区上海路东海河路南,,,,150000000.0,2011.0
山东蓝星东大有限公司,,淄博高新区济青路29号,,,,150000000.0,2006.0
山东齐隆化工股份有限公司,,山东省淄博市张店区冯北路7号,,,,150000000.0,1998.0
沾化国昌精细化工有限公司,,山东省滨州市沾化区滨海镇耿局村北1公里处,,,,150000000.0,2012.0
中化工储运有限公司,,山东省莱州市三山岛街道海滨路,,,,150000000.0,2011.0
潍坊绿霸化工有限公司,,潍坊滨海经济开发区临港化工园内临港四路以西,,,,150000000.0,2007.0
山东科力达石油化工科技有限公司,,日照市岚山区巨峰镇金茗路,,,,150000000.0,2006.0
日照新三明化工有限公司,,日照市岚山区虎山镇化工园区珠海路6号,,,,150000000.0,2012.0
