Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
山东沾化天元精细化工有限公司,,山东省滨州市沾化区滨海镇耿局村北,,,,25000000,2011
滨州广源化工有限公司,,滨州市北办黄河二路以北渤海五路以西瑞兴A034号,,,,20000000,2010
滨州市胜达化工有限公司,,滨州市滨城区凤凰四路梧桐十路交叉口,,,,10000000,1998
山东凯特达化工有限公司,,邹平县广电大厦附楼三楼3020室,,,,3000000,2009
无棣顺通化工有限公司,,无棣县新海项目聚集区,,,,30000000,2007
阳信昌泽化工有限公司,,阳信县经济开发区工业五路东首,,,,30000000,2009
邹平魏源化工科技有限公司,,邹平县经济开发区会仙三路北侧,,,,30000000,2011
山东隆康化工有限公司,,山东省滨州市沾化区城北工业园清风三路南侧2号,,,,30000000,2009
滨州祥碇邦化工有限公司,,山东省滨州市邹平县临池镇古城村,,,,30000000,2016
沾化滨博化工有限公司,,山东省滨州市沾化区城北工业园创业三路13号,,,,20000000,2005
山东省博兴县昊隆化工有限公司,,博兴县化工园区吕艺镇工业园,,,,20380000,2008
邹平县双兴化工设备有限公司,,邹平县孙镇驻地,,,,30000000,2007
滨州市利美精细化工有限公司,,滨州市滨城区滨北办事处凤凰八路西侧,,,,30000000,2011
阳信富信石油化工有限公司,,山东省滨州市阳信县工业八路以北、大济路以西,,,,30000000,2016
滨州邦宝化工有限公司,,滨州市滨城区渤海二路1288号,,,,20000000,2004
滨州滨海新能源化工有限公司,,山东省滨州北海经济开发区北海科技城内,,,,30000000,2013
滨州市沾化区瑞安化工有限公司,,山东省滨州市沾化区城北工业园清风一路14号,,,,3000000,2013
沾化泰瑞海铭化工有限公司,,山东省滨州市沾化区滨海镇耿局村北,,,,10600000,2008
山东北洋化工有限公司,,无棣县新海工业园,,,,10100000,2006
山东奥宝化工集团有限公司,,安丘市北郊,,,,86000000,1999
山东省舜天化工集团有限公司,,沂南经济开发区绿源路中段,,,,48387097,2000
山东晋煤明水化工集团有限公司,,山东省济南市章丘区刁镇化工工业园,,,,223657200,1991
山东省石油化工有限公司,,济南市历下区经十路13777号,,,,130000000,1999
山东晋煤日月化工有限公司,,章丘市水寨镇水南村,,,,77000000,2002
济南泰星精细化工有限公司,,山东省济南市章丘区明水经济技术开发区刁镇化工园绿野路路西,,,,100000000,1998
山东绿霸化工股份有限公司,,济南市历城区唐王镇娄家北路17号,,,,360000000,1997
山东绿邦作物科学股份有限公司,,山东省济南市章丘区水寨镇水南村,,,,42095000,1999
山东明源石油化工有限公司,,济南市槐荫区经十路24566号,,,,94000000,2003
山东大器化工有限公司,,济南市历城区遥墙街道云家村委会北,,,,500000,1999
山东中氟化工科技有限公司,,山东省章丘市刁镇化工工业园,,,,125000000,2004
济南司普润化工产品有限公司,,济南市槐荫区纬十二路382号,,,,,1992
