Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
鲁西化工集团股份有限公司,,山东省莱芜农高区方下镇工业园,,,,200,
莱芜市明卓化工有限公司,,山东省菏泽市定陶区兴华路万泰电子商务创业园3号楼4056,,,,5000,
